season,sport,division,stage,rank,team,team_name,wins,losses,points,details,mvp,rookie,source
2003-2004,Badminton,Men's,Final Standings,1,FEU,Far Eastern University,,,,Champion,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,2,UST,University of Santo Tomas,,,,Runner-up,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,3,UP,University of the Philippines,,,,Third place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,4,UE,University of the East,,,,Fourth place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,5,DLSU,De La Salle University,,,,Fifth place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,6,ADMU,Ateneo de Manila University,,,,Sixth place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Women's,Final Standings,1,ADMU,Ateneo de Manila University,,,,Champion,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,2,FEU,Far Eastern University,,,,Runner-up,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,3,DLSU,De La Salle University,,,,Third place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,4,UST,University of Santo Tomas,,,,Fourth place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,5,UP,University of the Philippines,,,,Fifth place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,6,UE,University of the East,,,,Sixth place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Baseball,Men's,Final Standings,1,UP,University of the Philippines,9,1,,Champion,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,2,UST,University of Santo Tomas,9,1,,Runner-up,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,3,AdU,Adamson University,4,6,,Third place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,4,NU,National University,4,6,,Fourth place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,5,DLSU,De La Salle University,3,7,,Fifth place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,1,9,,Sixth place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Basketball,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,10,2,,Champion,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,2,AdU,Adamson University,10,2,,0.833,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,3,DLSZ,De La Salle Santiago Zobel School,8,4,,0.667,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,4,UE,University of the East,6,6,,0.500,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,5,UST,University of Santo Tomas,6,6,,0.500,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,6,UPIS,UP Integrated School,2,10,,0.167,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,6,UP,University of the Philippines,,,,6$^{th}$ Place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,7,NU,National University,0,12,,0.000,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Men's,Final Standings,1,ADMU,Ateneo de Manila University,11,3,15,0.786,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,1,FEU,Far Eastern University,11,3,12,Champion,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,3,UE,University of the East,11,3,15,Third place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,4,DLSU,De La Salle University,7,7,14,Fourth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,5,AdU,Adamson University,5,9,13,Fifth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,6,UST,University of Santo Tomas,5,9,6,Sixth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,7,UP,University of the Philippines,3,11,9,Seventh place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,8,NU,National University,3,11,9,Eighth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Women's,Final Standings,1,AdU,Adamson University,11,1,,0.917,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,2,UP,University of the Philippines,8,4,,0.667,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,3,ADMU,Ateneo de Manila University,7,5,,0.583,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,4,DLSU,De La Salle University,7,5,,0.583,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,5,UST,University of Santo Tomas,5,7,,0.417,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,6,FEU,Far Eastern University,4,8,,0.333,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,7,UE,University of the East,0,12,,0.000,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Chess,Boys,Final Standings,2,UE,University of the East,,,,Bye,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,3,NU,National University,,,,3,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,4,ADMU,Ateneo de Manila University,,,,4,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,5,DLSU,De La Salle University,,,,0,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,6,UST,University of Santo Tomas,,,,1,,,IMG_0684
2003-2004,Chess,Juniors,Final Standings,1,UP,University of the Philippines,,,,Champion,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,2,DLSU,De La Salle University,,,,Runner-up,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,2,NU,National University,,,24.5,"Magat, Jed Angelo",JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,3,ADMU,Ateneo de Manila University,,,19,"Queseng, John",JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,3,UST,University of Santo Tomas,,,9,Third place,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,4,UE,University of the East,,,26,Fourth place,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,5,DLSZ,De La Salle Santiago Zobel School,,,1.5,,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,5,FEU,Far Eastern University,,,,Fifth place,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Women's,Final Standings,1,DLSU,De La Salle University,,2.5,,4,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,2,UST,University of Santo Tomas,1.5,,,1,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,3,UE,University of the East,0,3,,,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,4,UP,University of the Philippines,3.5,2.5,,3,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,5,FEU,Far Eastern University,0,0,,0,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,6,ADMU,Ateneo de Manila University,0.5,1,,0,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,7,NU,National University,0.5,0,,1,,,IMG_0680
2003-2004,Fencing,Men's,Final Standings,1,UE,University of the East,5,3,,Champion,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,3,FEU,Far Eastern University,5,5,,"Vizcayno, Wilfredo",Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,3,UST,University of Santo Tomas,4,2,,Third place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,4,UP,University of the Philippines,5,4,,Fourth place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,5,ADMU,Ateneo de Manila University,,4,,Fifth place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,6,DLSU,De La Salle University,3,2,,Sixth place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Women's,Final Standings,1,UP,University of the Philippines,1,3,,Champion,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,3,UE,University of the East,2,0,,Third place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,4,ADMU,Ateneo de Manila University,,5,,Fourth place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,5,FEU,Far Eastern University,3,5,,Fifth place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,6,DLSU,De La Salle University,5,5,,Sixth place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,6,UST,University of Santo Tomas,5,5,,"ORENDAIN, Harlene",Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Football,Men's,Final Standings,1,ADMU,Ateneo de Manila University,7,2,2,Champion,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
2003-2004,Football,Men's,Final Standings,2,UP,University of the Philippines,5,4,2,13,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
2003-2004,Football,Men's,Final Standings,3,FEU,Far Eastern University,4,4,2,10,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
2003-2004,Football,Men's,Final Standings,4,UST,University of Santo Tomas,3,4,3,6,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
2003-2004,Football,Men's,Final Standings,5,UE,University of the East,2,3,5,4,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
2003-2004,Football,Men's,Final Standings,6,DLSU,De La Salle University,0,3,7,5,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
2003-2004,Football,Women's,Final Standings,1,DLSU,De La Salle University,8,,1,Champion,Marielle Benitez (DLSU),Gianina Yusi (DLSU),IMG_0723
2003-2004,Football,Women's,Final Standings,2,FEU,Far Eastern University,3,3,3,4,Marielle Benitez (DLSU),Gianina Yusi (DLSU),IMG_0723
2003-2004,Football,Women's,Final Standings,3,UST,University of Santo Tomas,1,5,2,Third place,Marielle Benitez (DLSU),Gianina Yusi (DLSU),IMG_0723
2003-2004,Football,Women's,Final Standings,4,UP,University of the Philippines,1,5,2,Fourth place,Marielle Benitez (DLSU),Gianina Yusi (DLSU),IMG_0723
2003-2004,Football,Women's,Final Standings,5,ADMU,Ateneo de Manila University,,3,5,Fifth place,Marielle Benitez (DLSU),Gianina Yusi (DLSU),IMG_0723
2003-2004,Judo,Men's,Final Standings,1,UST,University of Santo Tomas,4,0,10,Champion,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Men's,Final Standings,2,DLSU,De La Salle University,3,1,6,Second Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Men's,Final Standings,3,UP,University of the Philippines,2,2,8,Third Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Men's,Final Standings,4,ADMU,Ateneo de Manila University,1,3,8,Fourth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Men's,Final Standings,5,UE,University of the East,0,4,6,Fifth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Women's,Final Standings,1,UST,University of Santo Tomas,4,0,,Champion,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Women's,Final Standings,2,UP,University of the Philippines,3,1,,Second Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Women's,Final Standings,3,ADMU,Ateneo de Manila University,2,2,,Third Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Women's,Final Standings,4,DLSU,De La Salle University,1,3,,Fourth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Judo,Women's,Final Standings,5,UE,University of the East,0,4,,Fifth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Lawn Tennis,Men's,Final Standings,1,AdU,Adamson University,10,3,,Champion,YANNICK GUBA (DLSU),ERWIN DE GUZMAN (DLSU),"IMG_0737, IMG_0743"
2003-2004,Lawn Tennis,Men's,Final Standings,1,DLSU,De La Salle University,7,1,,Champion,YANNICK GUBA (DLSU),ERWIN DE GUZMAN (DLSU),"IMG_0737, IMG_0743"
2003-2004,Lawn Tennis,Men's,Final Standings,2,UST,University of Santo Tomas,7,1,,19,YANNICK GUBA (DLSU),ERWIN DE GUZMAN (DLSU),"IMG_0737, IMG_0743"
2003-2004,Lawn Tennis,Men's,Final Standings,4,UP,University of the Philippines,4,4,,Fourth place,YANNICK GUBA (DLSU),ERWIN DE GUZMAN (DLSU),"IMG_0737, IMG_0743"
2003-2004,Lawn Tennis,Men's,Final Standings,4,ADMU,Ateneo de Manila University,2,6,,Fourth place,YANNICK GUBA (DLSU),ERWIN DE GUZMAN (DLSU),"IMG_0737, IMG_0743"
2003-2004,Lawn Tennis,Men's,Final Standings,5,UE,University of the East,0,8,,Fifth place,YANNICK GUBA (DLSU),ERWIN DE GUZMAN (DLSU),"IMG_0737, IMG_0743"
2003-2004,Lawn Tennis,Women's,Final Standings,1,DLSU,De La Salle University,6,0,,Champion,Bernardine Aurell Sepulveda (DLSU),Mary Rose Celiste Panis (DLSU),IMG_0739
2003-2004,Lawn Tennis,Women's,Final Standings,2,UST,University of Santo Tomas,4,2,,14,Bernardine Aurell Sepulveda (DLSU),Mary Rose Celiste Panis (DLSU),IMG_0739
2003-2004,Lawn Tennis,Women's,Final Standings,3,UP,University of the Philippines,2,4,,Third place,Bernardine Aurell Sepulveda (DLSU),Mary Rose Celiste Panis (DLSU),IMG_0739
2003-2004,Lawn Tennis,Women's,Final Standings,4,ADMU,Ateneo de Manila University,0,6,,Fourth place,Bernardine Aurell Sepulveda (DLSU),Mary Rose Celiste Panis (DLSU),IMG_0739
2003-2004,Softball,Men's,Elimination Round,1,AdU,Adamson University,10,3,,,,,uaap_team_standings_local_accurate.csv
2003-2004,Softball,Men's,Elimination Round,2,UST,University of Santo Tomas,8,6,,,,,uaap_team_standings_local_accurate.csv
2003-2004,Softball,Men's,Elimination Round,3,UE,University of the East,9,3,,,,,uaap_team_standings_local_accurate.csv
2003-2004,Softball,Men's,Elimination Round,4,UP,University of the Philippines,6,5,,,,,uaap_team_standings_local_accurate.csv
2003-2004,Softball,Men's,Elimination Round,5,DLSU,De La Salle University,2,8,,,,,uaap_team_standings_local_accurate.csv
2003-2004,Softball,Men's,Elimination Round,6,ADMU,Ateneo de Manila University,0,10,,,,,uaap_team_standings_local_accurate.csv
2003-2004,Softball,Women's,Final Standings,1,AdU,Adamson University,10,3,,Champion,,,uaap_2003_2004_team_standings.csv
2003-2004,Softball,Women's,Final Standings,2,UST,University of Santo Tomas,8,6,,Second Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Softball,Women's,Final Standings,3,UE,University of the East,9,3,,Third Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Softball,Women's,Final Standings,4,UP,University of the Philippines,6,5,,Fourth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Softball,Women's,Final Standings,5,DLSU,De La Salle University,2,8,,Fifth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Softball,Women's,Final Standings,6,ADMU,Ateneo de Manila University,0,10,,Sixth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,1,UE,University of the East,10,0,10,Champion,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,2,UP,University of the Philippines,8,2,9,Second Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,3,UST,University of Santo Tomas,6,4,8,Third Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,3,FEU,Far Eastern University,,,,10:00AM,Mark Jester D. Tariga (UE),Joseph Felix V. Marfori (UE),"IMG_0753, IMG_0754, IMG_0755, IMG_0756, IMG_0757, IMG_0758, IMG_0759, IMG_0760"
2003-2004,Table Tennis,Juniors,Final Standings,4,ADMU,Ateneo de Manila University,4,6,7,Fourth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,5,NU,National University,2,8,6,Fifth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,6,DLSU,De La Salle University,0,10,5,Sixth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Juniors,Final Standings,6,AdU,Adamson University,,,,3:00PM,Mark Jester D. Tariga (UE),Joseph Felix V. Marfori (UE),"IMG_0753, IMG_0754, IMG_0755, IMG_0756, IMG_0757, IMG_0758, IMG_0759, IMG_0760"
2003-2004,Table Tennis,Men's,Final Standings,1,UST,University of Santo Tomas,13,1,14,Champion,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,2,UP,University of the Philippines,13,1,14,Second Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,3,UE,University of the East,10,4,12,Third Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,4,DLSU,De La Salle University,7,7,11,Fourth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,5,FEU,Far Eastern University,7,7,11,Fifth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,6,AdU,Adamson University,4,10,9,Sixth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,7,ADMU,Ateneo de Manila University,2,12,8,Seventh Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Men's,Final Standings,8,NU,National University,0,14,7,Eight Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,1,UST,University of Santo Tomas,13,1,14,Champion,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,2,FEU,Far Eastern University,13,1,14,Second Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,3,UP,University of the Philippines,8,6,11,Third Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,4,AdU,Adamson University,8,6,11,Fourth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,5,DLSU,De La Salle University,6,8,10,Fifth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,6,UE,University of the East,4,10,9,Sixth Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,7,ADMU,Ateneo de Manila University,4,10,9,Seventh Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Table Tennis,Women's,Final Standings,8,NU,National University,0,14,7,Eight Place,,,uaap_2003_2004_team_standings.csv
2003-2004,Tae Kwon Do,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,3,1,,Runner-up,DLSZ (UE),,"IMG_0764, IMG_0766, IMG_0767"
2003-2004,Tae Kwon Do,Juniors,Final Standings,1,UST,University of Santo Tomas,3,1,,Champion,DLSZ (UE),,"IMG_0764, IMG_0766, IMG_0767"
2003-2004,Tae Kwon Do,Juniors,Final Standings,3,UE,University of the East,3,1,,Third place,DLSZ (UE),,"IMG_0764, IMG_0766, IMG_0767"
2003-2004,Tae Kwon Do,Juniors,Final Standings,4,DLSZ,De La Salle Santiago Zobel School,0,4,,Fourth place,DLSZ (UE),,"IMG_0764, IMG_0766, IMG_0767"
2003-2004,Tae Kwon Do,Juniors,Final Standings,5,UP,University of the Philippines,1,3,,Fifth place,DLSZ (UE),,"IMG_0764, IMG_0766, IMG_0767"
2003-2004,Tae Kwon Do,Juniors,Final Standings,5,UPIS,UP Integrated School,,,,5,DLSZ (UE),,"IMG_0764, IMG_0766, IMG_0767"
2003-2004,Tae Kwon Do,Men's,Final Standings,1,UST,University of Santo Tomas,5,0,,Champion,DLSU (FEU),,"IMG_0762, IMG_0765, IMG_0769, IMG_0770"
2003-2004,Tae Kwon Do,Men's,Final Standings,2,DLSU,De La Salle University,3,2,,Runner-up,DLSU (FEU),,"IMG_0762, IMG_0765, IMG_0769, IMG_0770"
2003-2004,Tae Kwon Do,Men's,Final Standings,3,ADMU,Ateneo de Manila University,1,4,,Third place,DLSU (FEU),,"IMG_0762, IMG_0765, IMG_0769, IMG_0770"
2003-2004,Tae Kwon Do,Men's,Final Standings,4,UE,University of the East,3,2,,Fourth place,DLSU (FEU),,"IMG_0762, IMG_0765, IMG_0769, IMG_0770"
2003-2004,Tae Kwon Do,Men's,Final Standings,5,UP,University of the Philippines,2,3,,Fifth place,DLSU (FEU),,"IMG_0762, IMG_0765, IMG_0769, IMG_0770"
2003-2004,Tae Kwon Do,Men's,Final Standings,6,FEU,Far Eastern University,1,4,,Sixth place,DLSU (FEU),,"IMG_0762, IMG_0765, IMG_0769, IMG_0770"
2003-2004,Tae Kwon Do,Women's,Final Standings,1,UP,University of the Philippines,4,1,,Champion,DLSU (FEU),,"IMG_0763, IMG_0765, IMG_0767, IMG_0771, IMG_0772, IMG_0773"
2003-2004,Tae Kwon Do,Women's,Final Standings,3,UST,University of Santo Tomas,5,0,,Third place,DLSU (FEU),,"IMG_0763, IMG_0765, IMG_0767, IMG_0771, IMG_0772, IMG_0773"
2003-2004,Tae Kwon Do,Women's,Final Standings,4,FEU,Far Eastern University,2,3,,Fourth place,DLSU (FEU),,"IMG_0763, IMG_0765, IMG_0767, IMG_0771, IMG_0772, IMG_0773"
2003-2004,Tae Kwon Do,Women's,Final Standings,4,ADMU,Ateneo de Manila University,1,4,,Fourth place,DLSU (FEU),,"IMG_0763, IMG_0765, IMG_0767, IMG_0771, IMG_0772, IMG_0773"
2003-2004,Tae Kwon Do,Women's,Final Standings,5,DLSU,De La Salle University,0,5,,Fifth place,DLSU (FEU),,"IMG_0763, IMG_0765, IMG_0767, IMG_0771, IMG_0772, IMG_0773"
2003-2004,Tae Kwon Do,Women's,Final Standings,6,UE,University of the East,3,2,,Sixth place,DLSU (FEU),,"IMG_0763, IMG_0765, IMG_0767, IMG_0771, IMG_0772, IMG_0773"
2003-2004,Volleyball,Boys,Final Standings,1,DLSZ,De La Salle Santiago Zobel School,8,0,,Champion,MARK PAUL TRINIDAD (DLS (Z)),ELMER DELA CRUZ (UE),IMG_0785
2003-2004,Volleyball,Boys,Final Standings,2,UE,University of the East,5,3,,3.0,MARK PAUL TRINIDAD (DLS (Z)),ELMER DELA CRUZ (UE),IMG_0785
2003-2004,Volleyball,Boys,Final Standings,3,UST,University of Santo Tomas,5,3,,Third place,MARK PAUL TRINIDAD (DLS (Z)),ELMER DELA CRUZ (UE),IMG_0785
2003-2004,Volleyball,Boys,Final Standings,4,ADMU,Ateneo de Manila University,2,6,,Fourth place,MARK PAUL TRINIDAD (DLS (Z)),ELMER DELA CRUZ (UE),IMG_0785
2003-2004,Volleyball,Boys,Final Standings,5,UP,University of the Philippines,0,8,,Fifth place,MARK PAUL TRINIDAD (DLS (Z)),ELMER DELA CRUZ (UE),IMG_0785
2003-2004,Volleyball,Girls,Final Standings,1,UST,University of Santo Tomas,6,0,,Champion,FATIMA REBUYAS (UST),GIZA YUMANG (UE),IMG_0787
2003-2004,Volleyball,Girls,Final Standings,2,UE,University of the East,4,2,,Runner-up,FATIMA REBUYAS (UST),GIZA YUMANG (UE),IMG_0787
